ano_compra;"nome_instituicao";"esfera";"cnpj_instituicao";"municipio_instituicao";"uf";compra;insercao;codigo_br;"descricao_catmat";"unidade_fornecimento";"generico";"anvisa";"modalidade_compra";"tipo_compra";capacidade;"unidade_medida";"unidade_fornecimento_capacidade";"cnpj_fornecedor";"fornecedor";"cnpj_fabricante";"fabricante";qtd_itens_comprados;preco_unitario;preco_total
"2026";"MUNICIPIO DE PATOS DE MINAS";"MUNICIPAL";"18.602.011/0001-07";"PATOS DE MINAS";"MG";"06/01/2026";"27/01/2026";"484594";"TUBO ENDOBRONQUIAL, MODELO:DUPLO LÚMEN C/ GANCHO DE CARINA, TIPO USO:ESQUERDO, CALIBRE:35 FR, MATERIAL :LÁTEX NATURAL, COMPONENTES:C/ BALÃO TRAQUEAL E ENDOBRONQUIAL, CONECTOR:CONECTORES, ADICIONAL:SONDAS ASPIRAÇÃO, ADICIONAL :RADIOPACO, GRADUADO";"UNIDADE";;;"Pregão";"ADMINISTRATIVA";;;"UNIDADE";"17.159.229/0002-57";"LABORATORIO TEUTO BRASILEIRO S/A";"17.159.229/0001-76";"LABORATORIO TEUTO BRASILEIRO S/A";"1000";"0.99";"990.0"
"2026";"MUNICIPIO DE DOURADOQUARA";"MUNICIPAL";"18.158.261/0001-08";"DOURADOQUARA";"MG";"06/01/2026";"03/03/2026";"405899";"DESVENLAFAXINA, COMPOSIÇÃO:SAL SUCCINATO, CONCENTRAÇÃO:100 MG, FORMA FARMACÊUTICA:LIBERAÇÃO CONTROLADA";"COMPRIMIDO";"S";"1023511880256";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"12.927.876/0001-67";"SOMA/MG PRODUTOS HOSPITALARES LTDA";"57.507.378/0003-65";"EMS S/A";"800";"0.74";"592.0"
"2026";"MUNICIPIO DE PATOS DE MINAS";"MUNICIPAL";"18.602.011/0001-07";"PATOS DE MINAS";"MG";"06/01/2026";"27/01/2026";"439252";"NUSINERSENA, CONCENTRAÇÃO:2,4 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL";"FRASCO";"N";"1699300080010";"Pregão";"ADMINISTRATIVA";"5.0";"ML";"FRASCO 5.00 ML";"17.159.229/0002-57";"LABORATORIO TEUTO BRASILEIRO S/A";"07.986.222/0001-74";"BIOGEN BRASIL PRODUTOS FARMACEUTICOS LTDA";"10";"415789.9";"4157899.0"
"2026";"MUNICIPIO DE DOURADOQUARA";"MUNICIPAL";"18.158.261/0001-08";"DOURADOQUARA";"MG";"06/01/2026";"03/03/2026";"282881";"ROSUVASTATINA, COMPOSIÇÃO:CÁLCICA, CONCENTRAÇÃO:10 MG";"COMPRIMIDO";"S";"1438102250128";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"12.927.876/0001-67";"SOMA/MG PRODUTOS HOSPITALARES LTDA";"02.814.497/0001-07";"CIMED INDUSTRIA S.A.";"800";"0.13";"104.0"
"2026";"MUNICIPIO DE DOURADOQUARA";"MUNICIPAL";"18.158.261/0001-08";"DOURADOQUARA";"MG";"06/01/2026";"03/03/2026";"302442";"DULOXETINA, CONCENTRAÇÃO:30 MG, FORMA FARMACÊUTICA:MICROGRÂNULOS DE LIBERAÇÃO LENTA";"CÁPSULA";"S";"1023510880031";"Pregão";"ADMINISTRATIVA";;;"CÁPSULA";"12.927.876/0001-67";"SOMA/MG PRODUTOS HOSPITALARES LTDA";"57.507.378/0003-65";"EMS S/A";"1500";"0.68";"1020.0"
"2026";"MUNICIPIO DE DOURADOQUARA";"MUNICIPAL";"18.158.261/0001-08";"DOURADOQUARA";"MG";"06/01/2026";"03/03/2026";"271773";"BROMAZEPAM, DOSAGEM:3 MG";"COMPRIMIDO";"S";"1023504690031";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"12.927.876/0001-67";"SOMA/MG PRODUTOS HOSPITALARES LTDA";"57.507.378/0003-65";"EMS S/A";"300";"0.08";"24.0"
"2026";"MUNICIPIO DE DOURADOQUARA";"MUNICIPAL";"18.158.261/0001-08";"DOURADOQUARA";"MG";"06/01/2026";"03/03/2026";"291770";"ESCITALOPRAM OXALATO, DOSAGEM:10 MG";"COMPRIMIDO";"S";"1438102690063";"Pregão";"ADMINISTRATIVA";;;"COMPRIMIDO";"12.927.876/0001-67";"SOMA/MG PRODUTOS HOSPITALARES LTDA";"02.814.497/0001-07";"CIMED INDUSTRIA S.A.";"3000";"0.11";"330.0"
"2026";"FUNDO MUNICIPAL DE SAUDE DE RIO BANANAL";"MUNICIPAL";"11.429.173/0001-46";"RIO BANANAL";"ES";"07/01/2026";"11/02/2026";"450890";"CEFTRIAXONA SÓDICA, CONCENTRAÇÃO:1 G, FORMA FARMACEUTICA:PÓ P/ SOLUÇÃO INJETÁVEL + DILUENTE";"FRASCO-AMPOLA";"S";"1163701740019";"Registro de Preços";"ADMINISTRATIVA";;;"FRASCO-AMPOLA";"00.874.929/0001-40";"MED CENTER COMERCIAL LTDA";"58.430.828/0001-60";"BLAU FARMACEUTICA S.A.";"5000";"3.95";"19750.0"
"2026";"FUNDO MUNICIPAL DE SAUDE DE RIO BANANAL";"MUNICIPAL";"11.429.173/0001-46";"RIO BANANAL";"ES";"07/01/2026";"11/02/2026";"433280";"LEVODOPA, COMPOSIÇÃO:ASSOCIADO À BENSERAZIDA, CONCENTRAÇÃO:100MG + 25 MG";"COMPRIMIDO";"N";"1010000640142";"Registro de Preços";"ADMINISTRATIVA";;;"COMPRIMIDO";"10.447.355/0001-87";"VIVA FARMACEUTICA SA";"33.009.945/0001-23";"PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S A";"51000";"0.7";"35700.0"
"2026";"FUNDO MUNICIPAL DE SAUDE DE RIO BANANAL";"MUNICIPAL";"11.429.173/0001-46";"RIO BANANAL";"ES";"07/01/2026";"11/02/2026";"268513";"OXACILINA, DOSAGEM:500 MG, COMPOSIÇÃO:INJETÁVEL";"FRASCO-AMPOLA";"S";"1163701410043";"Registro de Preços";"ADMINISTRATIVA";;;"FRASCO-AMPOLA";"00.874.929/0001-40";"MED CENTER COMERCIAL LTDA";"58.430.828/0001-60";"BLAU FARMACEUTICA S.A.";"1400";"4.14";"5796.0"
